run_id,resolution_points_per_wavelength,pml_thickness_um,padding_wavelengths,monitor_offset_wavelengths,reflectance,transmittance,absorbance,reference_residual,energy_balance_error,field_slice_delta,status
l82-empty-space-r20-pml0p5-pad2-m1p5,20,0.5,2,1.5,0.004409999999999999,0.99475,0.00489,0.005249999999999977,0.004050000000000109,0.007349999999999999,pass
l82-empty-space-r20-pml0p5-pad3-m1p5,20,0.5,3,1.5,0.004199999999999999,0.995,0.0048,0.0050000000000000044,0.0040000000000000036,0.006999999999999998,pass
l82-empty-space-r20-pml1-pad1-m1p5,20,1,1,1.5,0.00336,0.996,0.0018399999999999998,0.0040000000000000036,0.0012000000000000899,0.0056,pass
l82-empty-space-r20-pml1-pad2-m1p5,20,1,2,1.5,0.0020999999999999994,0.9975,0.0013,0.0024999999999999467,0.0009000000000001229,0.003499999999999999,pass
l82-empty-space-r20-pml1-pad3-m1p5,20,1,3,1.5,0.0018899999999999993,0.99775,0.0012099999999999997,0.0022499999999999742,0.0008500000000000174,0.003149999999999999,pass
l82-empty-space-r20-pml1p5-pad1-m1p5,20,1.5,1,1.5,0.00336,0.996,0.0018399999999999998,0.0040000000000000036,0.0012000000000000899,0.0056,pass
l82-empty-space-r20-pml1p5-pad2-m1p5,20,1.5,2,1.5,0.0020999999999999994,0.9975,0.0013,0.0024999999999999467,0.0009000000000001229,0.003499999999999999,pass
l82-empty-space-r20-pml1p5-pad3-m1p5,20,1.5,3,1.5,0.0018899999999999993,0.99775,0.0012099999999999997,0.0022499999999999742,0.0008500000000000174,0.003149999999999999,pass
l82-empty-space-r30-pml0p5-pad1-m1p5,30,0.5,1,1.5,0.00462,0.9945,0.00498,0.005499999999999949,0.0040999999999999925,0.007699999999999999,pass
l82-empty-space-r30-pml0p5-pad2-m1p5,30,0.5,2,1.5,0.00336,0.996,0.0044399999999999995,0.0044399999999999995,0.0038000000000000256,0.0056,pass
l82-empty-space-r30-pml0p5-pad3-m1p5,30,0.5,3,1.5,0.0031499999999999996,0.99625,0.00435,0.00435,0.00374999999999992,0.0052499999999999995,pass
l82-empty-space-r30-pml1-pad1-m1p5,30,1,1,1.5,0.00231,0.99725,0.00139,0.00275000000000003,0.0009500000000000064,0.0038499999999999997,pass
l82-empty-space-r30-pml1-pad2-m1p5,30,1,2,1.5,0.00105,0.99875,0.0008500000000000001,0.0012499999999999734,0.0006500000000000394,0.0017499999999999998,pass
l82-empty-space-r30-pml1-pad3-m1p5,30,1,3,1.5,0.00084,0.999,0.00076,0.0010000000000000009,0.0005999999999999339,0.0014,pass
l82-empty-space-r30-pml1p5-pad1-m1p5,30,1.5,1,1.5,0.00231,0.99725,0.00139,0.00275000000000003,0.0009500000000000064,0.0038499999999999997,pass
l82-empty-space-r30-pml1p5-pad2-m1p5,30,1.5,2,1.5,0.00105,0.99875,0.0008500000000000001,0.0012499999999999734,0.0006500000000000394,0.0017499999999999998,pass
l82-empty-space-r30-pml1p5-pad3-m1p5,30,1.5,3,1.5,0.00084,0.999,0.00076,0.0010000000000000009,0.0005999999999999339,0.0014,pass
