run_id,resolution_points_per_wavelength,pml_thickness_um,padding_wavelengths,monitor_offset_wavelengths,reflectance,transmittance,absorbance,reference_residual,energy_balance_error,field_slice_delta,status
l82-transparent-slab-r15-pml1p5-pad2-m1p5,15,1.5,2,1.5,0.0031966666666666667,0.9961944444444445,0.00177,0.0038055555555555065,0.0011611111111111683,0.005327777777777778,pass
l82-transparent-slab-r15-pml1p5-pad3-m1p5,15,1.5,3,1.5,0.0029866666666666665,0.9964444444444445,0.00168,0.003555555555555534,0.0011111111111110628,0.004977777777777778,pass
l82-transparent-slab-r20-pml0p5-pad1-m1p5,20,0.5,1,1.5,0.0054600000000000004,0.9935,0.00534,0.00649999999999995,0.0042999999999999705,0.0091,pass
l82-transparent-slab-r20-pml0p5-pad2-m1p5,20,0.5,2,1.5,0.0042,0.995,0.0048000000000000004,0.0050000000000000044,0.0040000000000000036,0.006999999999999999,pass
l82-transparent-slab-r20-pml0p5-pad3-m1p5,20,0.5,3,1.5,0.00399,0.99525,0.00471,0.004750000000000032,0.00395000000000012,0.00665,pass
l82-transparent-slab-r20-pml1-pad1-m1p5,20,1,1,1.5,0.00315,0.99625,0.00175,0.003750000000000031,0.0011499999999999844,0.00525,pass
l82-transparent-slab-r20-pml1-pad2-m1p5,20,1,2,1.5,0.0018900000000000002,0.99775,0.0012100000000000001,0.0022499999999999742,0.0008500000000000174,0.00315,pass
l82-transparent-slab-r20-pml1-pad3-m1p5,20,1,3,1.5,0.00168,0.998,0.00112,0.0020000000000000018,0.0007999999999999119,0.0028,pass
l82-transparent-slab-r20-pml1p5-pad1-m1p5,20,1.5,1,1.5,0.00315,0.99625,0.00175,0.003750000000000031,0.0011499999999999844,0.00525,pass
l82-transparent-slab-r20-pml1p5-pad2-m1p5,20,1.5,2,1.5,0.0018900000000000002,0.99775,0.0012100000000000001,0.0022499999999999742,0.0008500000000000174,0.00315,pass
l82-transparent-slab-r20-pml1p5-pad3-m1p5,20,1.5,3,1.5,0.00168,0.998,0.00112,0.0020000000000000018,0.0007999999999999119,0.0028,pass
l82-transparent-slab-r30-pml0p5-pad1-m1p5,30,0.5,1,1.5,0.004526666666666667,0.9946111111111111,0.00494,0.0053888888888888875,0.004077777777777847,0.007544444444444445,pass
l82-transparent-slab-r30-pml0p5-pad2-m1p5,30,0.5,2,1.5,0.0032666666666666664,0.9961111111111111,0.0044,0.0044,0.0037777777777776578,0.005444444444444444,pass
l82-transparent-slab-r30-pml0p5-pad3-m1p5,30,0.5,3,1.5,0.0030566666666666663,0.9963611111111111,0.00431,0.00431,0.0037277777777777743,0.005094444444444444,pass
l82-transparent-slab-r30-pml1-pad1-m1p5,30,1,1,1.5,0.0022166666666666667,0.9973611111111111,0.00135,0.0026388888888888573,0.0009277777777778606,0.003694444444444444,pass
l82-transparent-slab-r30-pml1-pad2-m1p5,30,1,2,1.5,0.0009566666666666666,0.9988611111111111,0.00081,0.0011388888888889115,0.0006277777777778937,0.0015944444444444443,pass
l82-transparent-slab-r30-pml1-pad3-m1p5,30,1,3,1.5,0.0007466666666666666,0.9991111111111111,0.00072,0.000888888888888939,0.0005777777777777882,0.0012444444444444445,pass
l82-transparent-slab-r30-pml1p5-pad1-m1p5,30,1.5,1,1.5,0.0022166666666666667,0.9973611111111111,0.00135,0.0026388888888888573,0.0009277777777778606,0.003694444444444444,pass
l82-transparent-slab-r30-pml1p5-pad2-m1p5,30,1.5,2,1.5,0.0009566666666666666,0.9988611111111111,0.00081,0.0011388888888889115,0.0006277777777778937,0.0015944444444444443,pass
l82-transparent-slab-r30-pml1p5-pad3-m1p5,30,1.5,3,1.5,0.0007466666666666666,0.9991111111111111,0.00072,0.000888888888888939,0.0005777777777777882,0.0012444444444444445,pass
